Time stamp,Sensor name,Raw sensor value
Sun 15:33:13,Light sensor,0.2727
Sun 15:33:14,Light sensor,0.2727
Sun 15:33:15,Light sensor,0.2776
Sun 15:33:16,Light sensor,0.2776
Sun 15:33:17,Light sensor,0.2708
Sun 15:33:18,Light sensor,0.7155
Sun 15:33:19,Light sensor,0.7546
Sun 15:33:20,Light sensor,0.2776
Sun 15:33:21,Light sensor,0.2776
Sun 15:33:22,Light sensor,0.2757
Sun 15:33:23,Light sensor,0.2717
Sun 15:33:24,Light sensor,0.3773
Sun 15:33:25,Light sensor,0.5767
Sun 15:33:26,Light sensor,0.2757
Sun 15:33:27,Light sensor,0.0411
Sun 15:33:28,Light sensor,0.043
Sun 15:33:29,Light sensor,0.2727
