Time stamp,Sensor name,Raw sensor value
Sun 17:38:15,Light sensor,0.3412
Sun 17:38:16,Light sensor,0.3431
Sun 17:38:17,Light sensor,0.3431
Sun 17:38:18,Light sensor,0.3431
Sun 17:38:19,Light sensor,0.3431
Sun 17:38:20,Light sensor,0.6325
Sun 17:38:21,Light sensor,0.8201
Sun 17:38:22,Light sensor,0.8847
Sun 17:38:23,Light sensor,0.8935
Sun 17:38:24,Light sensor,0.3578
Sun 17:38:25,Light sensor,0.0635
Sun 17:38:26,Light sensor,0.0665
Sun 17:38:27,Light sensor,0.0645
Sun 17:38:28,Light sensor,0.3294
Sun 17:38:29,Light sensor,0.3363
