Time stamp,Sensor name,Raw sensor value
Sun 17:38:50,Light sensor,0.4086
Sun 17:38:50,Temperature sensor,0.5934
Sun 17:38:51,Light sensor,0.4115
Sun 17:38:51,Temperature sensor,0.5924
Sun 17:38:52,Light sensor,0.4096
Sun 17:38:52,Temperature sensor,0.5924
Sun 17:38:53,Light sensor,0.4086
Sun 17:38:53,Temperature sensor,0.5934
Sun 17:38:54,Light sensor,0.4066
Sun 17:38:54,Temperature sensor,0.5934
Sun 17:38:55,Light sensor,0.4096
Sun 17:38:55,Temperature sensor,0.5934
Sun 17:38:56,Light sensor,0.4066
Sun 17:38:56,Temperature sensor,0.5934
Sun 17:38:57,Light sensor,0.4047
Sun 17:38:57,Temperature sensor,0.5934
