Time stamp,Sensor name,Raw sensor value
Sun 17:37:43,Temperature sensor,0.5914
Sun 17:37:44,Temperature sensor,0.5924
Sun 17:37:45,Temperature sensor,0.5914
Sun 17:37:46,Temperature sensor,0.5924
Sun 17:37:47,Temperature sensor,0.5914
Sun 17:37:48,Temperature sensor,0.5914
Sun 17:37:49,Temperature sensor,0.5914
Sun 17:37:50,Temperature sensor,0.5924
Sun 17:37:51,Temperature sensor,0.5924
Sun 17:37:52,Temperature sensor,0.5924
Sun 17:37:53,Temperature sensor,0.5934
Sun 17:37:54,Temperature sensor,0.5934
Sun 17:37:55,Temperature sensor,0.5943
Sun 17:37:56,Temperature sensor,0.5934
Sun 17:37:57,Temperature sensor,0.5934
Sun 17:37:58,Temperature sensor,0.5943
