Time stamp,Sensor name,Raw sensor value
Tue 21:02:40,Temperature sensor,0.5934
Tue 21:02:41,Temperature sensor,0.5934
Tue 21:02:42,Temperature sensor,0.5934
Tue 21:02:43,Temperature sensor,0.5934
Tue 21:02:44,Temperature sensor,0.5934
Tue 21:02:45,Temperature sensor,0.5934
Tue 21:02:46,Temperature sensor,0.5934
Tue 21:02:47,Temperature sensor,0.5934
Tue 21:02:48,Temperature sensor,0.5934
Tue 21:02:49,Temperature sensor,0.5924
Tue 21:02:50,Temperature sensor,0.5934
Tue 21:02:51,Temperature sensor,0.5934
Tue 21:02:52,Temperature sensor,0.5934
Tue 21:02:53,Temperature sensor,0.5934
Tue 21:02:54,Temperature sensor,0.5943
Tue 21:02:55,Temperature sensor,0.5934
Tue 21:02:56,Temperature sensor,0.5934
Tue 21:02:57,Temperature sensor,0.5924
Tue 21:02:58,Temperature sensor,0.5934
Tue 21:02:59,Temperature sensor,0.5934
